game_id,condition,difficulty,red_model,blue_model,red_mode,blue_mode,red_vuln_source,red_strategy,verification_mode,scenario,vulns_injected,findings,precision,adjusted_precision,tool_validated_fps,true_fps,recall,f1_score,evasion_rate
G-0001,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0002,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0003,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0004,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0005,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0006,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0007,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0008,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",2,5,0.2000,0.2000,0,4,0.5000,0.2857,0.5000
G-0009,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",2,5,0.4000,0.4000,0,3,1.0000,0.5714,0.0000
G-0010,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0011,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0012,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0013,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0014,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0015,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0016,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",2,3,0.3333,0.3333,0,2,0.5000,0.4000,0.5000
G-0017,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0018,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0019,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0020,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0021,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0022,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0023,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0024,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",2,3,0.6667,0.6667,0,1,1.0000,0.8000,0.0000
G-0025,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an API Gateway REST API",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0026,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an API Gateway REST API",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0027,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an API Gateway REST API",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0028,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an ECS Fargate service",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0029,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an ECS Fargate service",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0030,batch,easy,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an ECS Fargate service",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0031,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0032,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",1,4,0.2500,0.2500,0,3,1.0000,0.4000,0.0000
G-0033,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",3,5,0.6000,0.6000,0,2,1.0000,0.7500,0.0000
G-0034,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0035,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",3,5,0.6000,0.6000,0,2,1.0000,0.7500,0.0000
G-0036,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",3,4,0.5000,0.5000,0,2,0.6667,0.5714,0.3333
G-0037,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0038,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0039,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0040,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0041,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0042,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0043,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0044,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0045,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",3,5,0.6000,0.6000,0,2,1.0000,0.7500,0.0000
G-0046,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0047,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0048,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0049,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0050,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0051,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",3,3,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0052,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0053,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",3,5,0.6000,0.6000,0,2,1.0000,0.7500,0.0000
G-0054,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0055,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an API Gateway REST API",3,4,0.2500,0.2500,0,3,0.3333,0.2857,0.6667
G-0056,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an API Gateway REST API",3,5,0.4000,0.4000,0,3,0.6667,0.5000,0.3333
G-0057,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an API Gateway REST API",3,5,0.6000,0.6000,0,2,1.0000,0.7500,0.0000
G-0058,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an ECS Fargate service",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0059,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an ECS Fargate service",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0060,batch,medium,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an ECS Fargate service",3,4,0.7500,0.7500,0,1,1.0000,0.8571,0.0000
G-0061,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",1,4,0.2500,0.2500,0,3,1.0000,0.4000,0.0000
G-0062,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0063,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an S3 bucket for application logs",5,6,0.8333,0.8333,0,1,1.0000,0.9091,0.0000
G-0064,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0065,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0066,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an EC2 instance for a web application",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0067,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0068,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0069,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a Lambda function for data processing",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0070,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",2,4,0.5000,0.5000,0,2,1.0000,0.6667,0.0000
G-0071,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0072,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an RDS PostgreSQL database",5,5,0.8000,0.8000,0,1,0.8000,0.8000,0.2000
G-0073,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0074,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0075,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a VPC with public and private subnets",4,5,0.8000,0.8000,0,1,1.0000,0.8889,0.0000
G-0076,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0077,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0078,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create IAM roles for a development team",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0079,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0080,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",5,4,1.0000,1.0000,0,0,0.8000,0.8889,0.2000
G-0081,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create an SQS queue for order processing",5,5,0.8000,0.8000,0,1,0.8000,0.8000,0.2000
G-0082,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",5,5,1.0000,1.0000,0,0,1.0000,1.0000,0.0000
G-0083,batch,hard,claude-3-5-sonnet-20,claude-3-5-sonnet-20,single,single,database,balanced,standard,"Create a DynamoDB table for session storage",5,4,1.0000,1.0000,0,0,0.8000,0.8889,0.2000
